FIPS,state,county name,income,unemployment_rate,less_HS,at_HS,some_college,BS_and_above,All Gender All Race,Male All Race,Female All Race,All Gender White,Male White,Female White,All Gender Black,Male Black,All Gender Hispanic,Male Hispanic,All Gender Asian and Pacific Islander,All Gender American Indian and Alaskan Native,Male American Indian and Alaskan Native,Female American Indian and Alaskan Native,Female Black,Female Hispanic,Male Asian and Pacific Islander,Female Asian and Pacific Islander
53009,WA,Clallam County,56700,8.2,8.465112793,27.41887132,39.5038597,24.61215619,273.9,360.6,197.1,270,355,197.5,null,null,null,null,null,443.2,null,null,null,null,null,null
53011,WA,Clark County,68300,6.8,8.956230164,25.72038229,39.32579031,25.99759723,270.5,349.6,210.2,280.6,364,217,282.9,358.4,97.2,130.3,146.9,232.7,297.8,null,221.1,83.7,107.8,107.8
53013,WA,Columbia County,56800,7,12.26257914,27.85738087,41.18627124,18.69376874,265.3,336.8,205.8,281.5,358.8,216.8,null,null,115.4,158.3,null,null,null,null,null,null,null,null
53015,WA,Cowlitz County,53400,7.8,13.28252429,30.13900316,41.14522438,15.43324817,302.5,388.2,224.7,310.2,398.5,230.6,217.7,null,97.2,null,145.9,null,null,null,null,null,123.8,123.8
53017,WA,Douglas County,58700,6.9,19.00181855,28.45019196,35.178824,17.36916549,273.4,372.8,204.5,285.8,387,210.8,null,null,63.9,161.6,null,298.9,null,null,null,34.9,null,null
53019,WA,Ferry County,46300,11.1,12.00602183,36.84606699,37.16597667,13.98193451,304.2,406.9,217.4,303.4,402.1,215.9,null,null,null,null,null,425,644.1,296.5,null,null,null,null
53021,WA,Franklin County,67800,8.1,30.3664443,25.26729416,29.5325779,14.83368363,252.7,329.1,214,286.7,366.9,228.1,244.5,null,125.5,167.5,236.7,null,null,null,null,90.5,null,null
53023,WA,Garfield County,59300,6.5,5.185185185,28.49002849,41.76638177,24.55840456,293.8,363.9,231.5,300.8,373.9,236.9,null,null,null,null,null,null,null,null,null,null,null,null
53025,WA,Grant County,49100,7.2,24.36147084,28.16901408,32.84242367,14.62709141,310.3,402.7,222.9,330.8,429.8,234.5,316.4,420,162.8,205.3,185.2,308,430.1,354.1,null,123.1,null,null
53027,WA,Grays Harbor County,54300,9.9,14.87425055,31.31369096,39.44041,14.3716485,341.6,439.3,248.6,339.3,429.6,254.3,221.5,null,178.3,547.9,197,483.7,719.1,271.3,null,null,132.2,132.2
53029,WA,Island County,67400,6.4,5.178960249,24.62255493,39.44683378,30.75165104,260.4,339.8,198.4,267.4,356.1,204.7,263.3,394.8,146,124.4,125.9,380.7,402.4,null,null,188.2,111.7,111.7
53031,WA,Jefferson County,63700,7.8,6.052598465,23.14500231,35.53122772,35.27117151,236.5,282.8,212.5,243.1,293.6,214.6,null,null,null,null,null,448.2,493.5,393.9,null,null,null,null
53033,WA,King County,86700,4.5,8.00397997,17.04573258,28.98875555,45.9615319,234,300.7,182.6,247.8,317.3,194.3,275.8,369.5,153.4,197.5,142.2,334.5,423.3,224.1,208.6,117,111.9,111.9
53035,WA,Kitsap County,73100,5.9,6.575170964,23.73652072,40.83291011,28.85539821,262.1,346.4,204,265.1,350.7,203.9,429.2,506.4,190,332.3,161.6,426.3,338.5,460.3,396.3,100.5,116.8,116.8
53037,WA,Kittitas County,65100,6.7,9.104452905,29.02251283,30.20195332,31.67108095,281.2,348.4,213.3,288.8,358,220.3,301.2,407.6,142.2,198.4,146,319.9,428.9,297.3,224.8,117.6,112.5,112.5
53039,WA,Klickitat County,48900,7.5,12.37627142,33.45620861,35.23107379,18.93644617,279.5,363,234,292.2,373.3,246.2,299.2,null,130.3,206.1,126.6,352,550.3,379.3,null,96.9,null,null
53041,WA,Lewis County,54600,8.8,14.16576381,32.12931435,38.78076149,14.92416035,344.9,423.3,268,357.5,437.7,278.3,369.9,495.4,193.7,211.2,166.6,251.6,347,251.6,256.9,146.7,120.9,120.9
53043,WA,Lincoln County,55400,5.6,6.96656051,33.51910828,40.3529724,19.16135881,282.5,372.7,213.2,284.2,376.7,213.2,244.5,302.2,217.9,264.7,173.6,384.4,484,314.3,null,166.6,174.4,174.4
53045,WA,Mason County,60400,8.1,11.65697541,30.83650016,39.23813012,18.2683943,287.7,358.7,221.2,291.3,361.7,226.4,346,441,190.3,386.4,172.5,383.8,323.5,441.6,267,91,123.2,123.2
53047,WA,Okanogan County,51500,6.9,17.10605259,32.35927298,32.94159167,17.59308276,275.1,357.3,197.1,277.9,362.2,202.5,null,null,224.1,225.4,143,369.6,485.1,261.4,null,105,null,null
53049,WA,Pacific County,54700,9.6,13.69032584,32.53978277,37.0990149,16.67087648,422.2,474.3,317.4,436.5,491.5,323.8,null,null,null,null,null,540.3,486.8,null,null,null,null,null
